event_id,event_title,date,description,region,agreement_check,agreement_link,event_type,subject_type,subject_topic,subject_story,organizer_type,organizer_name,detentions,ovd,place,links
27,Пикет в поддержку Татьяны Стецуры,2012-02-25,,Москва,,,собрание,политический протест,политзаключенные,Татьяна Стецура,активистский протест,,5,,"у спецприемника для административно задержанных, Симферопольский бульвар, 2Г",http://ovdinfo.org/express-news/125
28,Одиночные пикеты в поддержку Татьяны Стецуры,2012-02-26,,Москва,,,одиночный пикет,политический протест,политзаключенные,Татьяна Стецура,активистский протест,,2,,Красная площадь,http://ovdinfo.org/express-news/127
29,Акция «Остановим диктатуру!»,2012-02-28,,Москва,,,собрание,политический протест,против власти,,институциональный протест,Другая Россия,16,,"у ЦИК, Большой Черкасский Переулок, 9",http://ovdinfo.org/express-news/132
30,Акция по раздаче палаток на Пушкинской площади,2012-02-29,,Москва,,,акция,политический протест,выборы,,активистский протест,Росагит,4,,Пушкинская площадь,http://ovdinfo.org/express-news/135
31,"Акция «5 марта, Сталин заждался»",2012-03-03,,Москва,,,акция,политический протест,выборы,,институциональный протест,Солидарность,4,,Метро комсомольская,http://ovdinfo.org/express-news/136
32,Митинг «За честные выборы»,2012-03-05,,Москва,checked,,собрание,политический протест,выборы,,институциональный протест,Оргкомитет протестных действий,258,,"Лубянская площадь, Пушкинская площадь",http://ovdinfo.org/article/5-marta-spisok-zaderzhannykh
33,Задержания на Пушкинской площади,2012-03-06,,Москва,,,собрание,политический протест,выборы,,активистский протест,,12,,Пушкинская площадь,"http://ovdinfo.org/express-news/186, https://lenta.ru/news/2012/03/06/push/"
34,Задержания на Пушкинской площади,2012-03-08,,Москва,,,собрание,политический протест,выборы,,активистский протест,,20,,Пушкинская площадь,"http://ovdinfo.org/express-news/196, https://www.interfax.ru/russia/235004"
35,Прогулки с белыми лентами,2012-03-08,,Москва,,,в движении,политический протест,выборы,,институциональный протест,Солидарность,7,,Красная площадь,http://ovdinfo.org/express-news/194
38,Митинг «За честные выборы»,2012-03-10,Задержание активистов после митинга «За честные выборы».,Москва,checked,,собрание,политический протест,выборы,,институциональный протест,Оргкомитет протестных действий,5,,ул Новый арбат,http://ovdinfo.org/express-news/202
37,Марш националистов на старом Арбате,2012-03-10,,Москва,,,в движении,политический протест,выборы,националистическая,активистский протест,Националисты,25,,Площадь Европы,http://ovdinfo.org/express-news/199
36,Пикет активиста партии «Яблоко»,2012-03-10,,Москва,,,одиночный пикет,политический протест,выборы,,институциональный протест,Яблоко,1,,Тверская улица,http://ovdinfo.org/express-news/205
39,Акция против строительных работ в Большом Козихинском переулке,2012-03-13,,Москва,,,оккупай,локальный протест,градостроительная,градозащитная,институциональный протест,Архнадзор,3,,"Большой Козихинский пер, д 25",http://ovdinfo.org/express-news/209
40,Одиночные пикеты в поддержку участниц «Pussy Riot»,2012-03-14,,Москва,,,одиночный пикет,политический протест,политзаключенные,Pussy Riot,активистский протест,,1,,"у здания Мосгорсуда, улица Богородский Вал, 8",http://ovdinfo.org/express-news/210
41,Акция против строительных работ в Большом Козихинском переулке,2012-03-14,,Москва,,,оккупай,локальный протест,градостроительная,градозащитная,институциональный протест,Архнадзор,4,,"Большой Козихинский пер, д 25",http://ovdinfo.org/express-news/211
42,Одиночные пикеты в поддержку Сурена Газаряна и Евгения Витишко,2012-03-17,,Москва,,,одиночный пикет,политический протест,политзаключенные,Дело Витишко и Газаряна о порче забора,активистский протест,,28,,Площадь Революции,http://ovdinfo.org/express-news/218
43,Прогулки с белыми лентами,2012-03-18,,Москва,,,в движении,политический протест,выборы,,институциональный протест,Солидарность,13,,Красная площадь,http://ovdinfo.org/express-news/240
44,Пикет «против наглой лжи НТВ»,2012-03-18,,Москва,,,собрание,политический протест,свобода слова,против цензуры,стихийный протест,,95,,"у телецентра «Останкино», улица Академика Королева, 12",http://ovdinfo.org/article/zaderzhannye-na-stikhiinom-pikete-protiv-nagloi-lzhi-telekanala-ntv
45,Одиночный пикет против лжи НТВ,2012-03-20,,Москва,,,одиночный пикет,политический протест,свобода слова,против цензуры,активистский протест,,1,,"у телецентра «Останкино», улица Академика Королева, 12",http://ovdinfo.org/express-news/257
46,"Пикет против займов, рекламирующихся «Почтой России»",2012-03-21,"Пикет против займов под огромные проценты, рекламирующихся через отделения «Почты России».",Москва,,,собрание,групповой протест,узкоэкономические требования,экономика,активистский протест,,5,,"у главного офиса «Почты России», Варшавское шоссе, 37",http://ovdinfo.org/express-news/261
47,Пикет памяти Сергея Магнитского,2012-03-24,,Москва,,,собрание,политический протест,политзаключенные,,активистский протест,,2,,"у здания МВД, Житная ул., 16",http://ovdinfo.org/express-news/265
48,Прогулки с белыми лентами,2012-03-25,,Москва,,,в движении,политический протест,выборы,,институциональный протест,Солидарность,33,,Красная площадь,"http://ovdinfo.org/express-news/266, http://ovdinfo.org/express-news/267"
50,Встреча оргкомитета «За честные выборы»,2012-03-31,,Москва,,,собрание,политический протест,выборы,,институциональный протест,Оргкомитет протестных действий,2,,Пушкинская площадь,http://ovdinfo.org/express-news/271
49,Стратегия-31,2012-03-31,,Москва,,,собрание,политический протест,свобода собраний,Стратегия-31,институциональный протест,Стратегия-31,64,,Триумфальная площадь,http://ovdinfo.org/article/zaderzhannye-31-marta-na-triumfalnoi-spisok
52,Прогулки с белыми лентами,2012-04-01,,Москва,,,в движении,политический протест,выборы,,институциональный протест,Солидарность,89,,Красная площадь,http://ovdinfo.org/article/zaderzhaniya-1-aprelya-na-krasnoi-ploshchadi
51,Флешмоб «Против призыва - за контрактную армию» ,2012-04-01,,Москва,,,акция,политический протест,другое,,институциональный протест,Яблоко,6,,Старый арбат,http://www.yabloko.ru/regnews/Moscow/2012/04/01_0
53,Одиночные пикеты с призывом к властям выполнять обязательства по капремонту домов,2012-04-06,,Москва,,,одиночный пикет,групповой протест,жилье,,институциональный протест,Московский совет,8,,"у Государственной Думы, ул. Охотный ряд, д. 1",http://ovdinfo.org/express-news/328
54,Прогулки с белыми лентами,2012-04-08,,Москва,,,в движении,политический протест,выборы,,институциональный протест,Солидарность,3,,Красная площадь,http://ovdinfo.org/express-news/332
55,Акция «Белое Метро»,2012-04-08,,Москва,,,акция,политический протест,выборы,,активистский протест,,4,,м Площадь Революции,"http://ovdinfo.org/express-news/334, https://www.facebook.com/events/261632360595659/"
56,Пикет в поддержку Олега Шеина,2012-04-10,Пикетирование представительства Астрахани в поддержку Олега Шеина.,Москва,,,собрание,политический протест,выборы,,стихийный протест,,1,,"у представительства Астрахани, Проспект Мира, д. 3, стр. 1",http://ovdinfo.org/express-news/339
57,Пикеты работников завода «Камов»,2012-04-10,,Москва,,,одиночный пикет,политический протест,против власти,,стихийный протест,Рабочие завода «Камов»,6,,Красная площадь,http://ovdinfo.org/express-news/340
58,Акция «Белая дума»,2012-04-11,,Москва,,,собрание,политический протест,выборы,,стихийный протест,,16,,"у Государственной Думы, ул. Охотный ряд, д. 1","http://ovdinfo.org/express-news/342, http://ovdinfo.org/express-news/343, http://ovdinfo.org/express-news/344, http://www.vedomosti.ru/politics/news/2012/04/11/udalcova_oshtra"
59,Прогулки с белыми лентами,2012-04-15,,Москва,,,в движении,политический протест,выборы,,институциональный протест,Солидарность,3,,Красная площадь,http://ovdinfo.org/express-news/348
60,Акция против поддержки правительством добычи нефти и газа в Арктике,2012-04-17,Активисты Greenpeace и четыре белых медведя растянули баннер у входа в отель «Ренессанс Монарх».,Москва,,,акция,политический протест,экология,,институциональный протест,Гринпис,23,,"у отеля «Ренессанс Монарх», 31A стр.1, Ленинградский проспект","http://ovdinfo.org/express-news/350, http://www.greenpeace.org/russia/ru/news/2012/17-04-2012-Arctic-oil-conference/"
61,Акция «Судебный фестиваль имени Pussy Riot»,2012-04-19,,Москва,,,собрание,политический протест,политзаключенные,Pussy Riot,стихийный протест,,27,,"у Таганского районного суда, Марксистский переулок, 1/32",http://ovdinfo.org/article/zaderzhaniya-na-aktsii-v-podderzhku-pussy-riot-u-taganskogo-suda
62,Акция «Фотопрогулка по Тверской»,2012-04-19,,Москва,,,акция,политический протест,против власти,,активистский протест,,7,,Тверская улица,"http://ovdinfo.org/express-news/366, http://www.novayagazeta.ru/news/56161.html"
63,Прогулки с белыми лентами,2012-04-22,,Москва,,,в движении,политический протест,выборы,,институциональный протест,Солидарность,5,,Красная площадь,"http://ovdinfo.org/express-news/378, http://ovdinfo.org/express-news/381, http://ovdinfo.org/express-news/380"
66,Раздача листовок,2012-04-29,,Москва,,,агитация,политический протест,против власти,,институциональный протест,Солидарность,1,,м.Охотный ряд,http://ovdinfo.org/express-news/390
64,Акция «молебен в защиту Pussy Riot»,2012-04-29,,Москва,,,акция,политический протест,политзаключенные,Pussy Riot,активистский протест,Роман Доброхотов,3,,"у Храма Христа Спасителя, ул Волхонка, д. 15","http://ovdinfo.org/express-news/388, http://www.novayagazeta.ru/news/56425.html"
65,Прогулки с белыми лентами,2012-04-29,,Москва,,,в движении,политический протест,выборы,,институциональный протест,Солидарность,6,,Красная площадь,http://ovdinfo.org/express-news/387
67,Раздача листовок,2012-05-02,,Москва,,,агитация,политический протест,против власти,,институциональный протест,Оргкомитет протестных действий,5,,м.Комсомольская,http://ovdinfo.org/express-news/397
68,Митинг против застройки парка 40-летия ВЛКСМ,2012-05-03,Задержание активиста за раздачу листовок.,Москва,checked,,собрание,локальный протест,градостроительная,,стихийный протест,,1,,"Проспект Вернадского, д. 5",http://ovdinfo.org/express-news/398
69,Акция «Не пустим вора в Кремль»,2012-05-06,,Москва,,,акция,политический протест,против власти,,активистский протест,,202,,Манежная площадь,http://ovdinfo.org/article/zaderzhaniya-v-moskve-06052012
70,«Марш миллионов»,2012-05-06,,Москва,checked,,в движении,политический протест,против власти,,институциональный протест,Оргкомитет протестных действий,449,,Болотная Площадь,http://ovdinfo.org/article/zaderzhaniya-v-moskve-06052012
71,Акция «Белый город»,2012-05-07,,Москва,,,в движении,политический протест,против власти,,институциональный протест,Мастерская протестных действий,508,,"Манежная площадь, Новая площадь, Чистопрудный бульвар, Гоголевский бульвар, Никитский бульвар",http://ovdinfo.org/article/zaderzhaniya-v-moskve-7-maya-2012
72,Прогулки по бульварам,2012-05-08,,Москва,,,в движении,политический протест,против власти,,стихийный протест,,331,,"Чистопрудный бульвар, Лубянская площадь, ул. Старый Арбат, Патриаришие пруды, Пушкинская площадь, Тверская улица",http://ovdinfo.org/article/zaderzhaniya-v-moskve-8-9-maya-2012
73,Прогулки по бульварам,2012-05-09,,Москва,,,в движении,политический протест,против власти,,стихийный протест,,35,,"Баррикадная улица, Лубянская площадь, Александровский сад","http://ovdinfo.org/express-news/545, http://ovdinfo.org/express-news/546"
74,Пикет у спецприемника в защиту Навального и Удальцова,2012-05-10,,Москва,,,собрание,политический протест,политзаключенные,,активистский протест,,2,,"у спецприемника для административно задержанных, Симферопольский бульвар, 2Г",http://ovdinfo.org/express-news/552
75,Прогулки по бульварам,2012-05-15,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,1,,Чистопрудный бульвар,http://ovdinfo.org/express-news/561
76,Прогулки по бульварам,2012-05-15,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,4,,Никитский бульвар,http://ovdinfo.org/express-news/562
78,Лагерь «Оккупайабай»,2012-05-16,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,28,,"Чистопрудный бульвар, Баррикадная улица","http://ovdinfo.org/article/razgon-lagerya-okkupaiabai, http://ovdinfo.org/express-news/569"
77,Лагерь «Оккупайабай»,2012-05-16,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,33,,Баррикадная улица,"http://ovdinfo.org/express-news/578, http://ovdinfo.org/express-news/581, http://ovdinfo.org/express-news/579, http://ovdinfo.org/express-news/583"
79,Лагерь «Оккупайабай»,2012-05-17,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,12,,Баррикадная улица,"http://ovdinfo.org/express-news/589, http://ovdinfo.org/express-news/590"
81,Пикет в поддержку Сергея Удальцова,2012-05-18,,Москва,,,собрание,политический протест,политзаключенные,,активистский протест,,1,,"у здания ГУВД России, ул Петровка, 38",http://ovdinfo.org/express-news/597
80,Лагерь «Оккупайабай»,2012-05-18,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,2,,Баррикадная улица,http://ovdinfo.org/express-news/596
83,Прогулки по бульварам,2012-05-19,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,13,,Никитский бульвар,http://ovdinfo.org/express-news/613
82,Лагерь «Оккупайарбат»,2012-05-19,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,19,,ул Старый Арбат,http://ovdinfo.org/express-news/619
84,Лагерь «Оккупайбаррикады»,2012-05-19,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,27,,Баррикадная улица,http://ovdinfo.org/article/razgon-lagerya-na-barrikadnoi
85,Лагерь «Оккупайарбат»,2012-05-20,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,14,,ул Старый Арбат,http://ovdinfo.org/express-news/627
86,Лагерь «Оккупайбаррикады»,2012-05-21,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,22,,Баррикадная улица,http://ovdinfo.org/express-news/631
87,Лагерь «Оккупайарбат»,2012-05-21,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,1,,ул Старый Арбат,http://ovdinfo.org/express-news/633
89,Лагерь «Оккупайбаррикады»,2012-05-22,,Москва,,,оккупай,политический протест,против власти,,активистский протест,,1,,Баррикадная улица,http://ovdinfo.org/express-news/638
88,Пикет против закона о митингах,2012-05-22,,Москва,,,собрание,политический протест,свобода собраний,против закона о митингах,стихийный протест,,6,,"у Государственной Думы, ул. Охотный ряд, д. 1",http://ovdinfo.org/express-news/636
90,Лагерь «Оккупайабай»,2012-05-25,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,2,,Чистопрудный бульвар,http://ovdinfo.org/express-news/643
91,Лагерь «Оккупайарбат»,2012-05-27,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,39,,ул Старый Арбат,"http://ovdinfo.org/express-news/655, http://ovdinfo.org/express-news/656, http://ovdinfo.org/express-news/657, http://ovdinfo.org/express-news/661"
93,Гей-парад,2012-05-27,,Москва,,,собрание,групповой протест,гендерные права,,активистский протест,,30,,"у мэрии Москвы, Тверская ул, д 13, у здания Московской Думы, Петровка, д 22",http://ovdinfo.org/express-news/649
92,Лагерь «Оккупайарбат»,2012-05-27,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,3,,ул Старый Арбат,"http://ovdinfo.org/express-news/647, http://ovdinfo.org/express-news/648"
95,Акция «Оккупаймур»,2012-05-28,,Москва,,,собрание,политический протест,политзаключенные,Болотное дело,стихийный протест,,10,,"у здания ГУВД России, ул Петровка, 38","http://ovdinfo.org/express-news/673, http://ovdinfo.org/express-news/674"
94,Лагерь «Оккупайсуд»,2012-05-28,,Москва,,,оккупай,политический протест,политзаключенные,Pussy Riot,активистский протест,,4,,"у здания Мосгорсуда, улица Богородский Вал, 8",http://ovdinfo.org/express-news/668
97,Одиночные агитационные пикеты «Другой России»,2012-05-29,,Москва,,,одиночный пикет,политический протест,против власти,,институциональный протест,Другая Россия,4,,Пушкинская площадь,http://ovdinfo.org/express-news/682
96,Акция «Оккупаймур»,2012-05-29,,Москва,,,собрание,политический протест,политзаключенные,Болотное дело,стихийный протест,,4,,"у здания ГУВД России, ул Петровка, 38",http://ovdinfo.org/express-news/681
98,Раздача листовок с призывом придти на «Марш Миллионов» 12 июня,2012-05-30,,Москва,,,агитация,политический протест,против власти,,институциональный протест,,1,,м Проспект Вернадского,http://ovdinfo.org/express-news/683
99,Стратегия-31,2012-05-31,,Москва,,,собрание,политический протест,свобода собраний,Стратегия-31,институциональный протест,Стратегия-31,133,,Триумфальная площадь,http://ovdinfo.org/article/zaderzhaniya-na-triumfalnoi-31-maya-2012
101,Лагерь «Оккупайарбат»,2012-06-02,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,9,,ул Старый Арбат,http://ovdinfo.org/express-news/711
100,Лагерь «Оккупайабай»,2012-06-02,,Москва,,,оккупай,политический протест,против власти,,стихийный протест,,5,,Чистопрудный бульвар,"http://ovdinfo.org/express-news/713, http://ovdinfo.org/express-news/715"
102,Расклейка стикеров с призывом придти на «Марш Миллионов» 12 июня,2012-06-03,,Москва,,,агитация,политический протест,против власти,,институциональный протест,,2,,"ул Твардовского, 2","http://ovdinfo.org/express-news/719, https://echo.msk.ru/blog/sazonpro/895392-echo/"
103,Пикет «Россия без Путина»,2012-06-03,,Москва,checked,,собрание,политический протест,против власти,,институциональный протест,Другая Россия,1,,м Новокузнецкая,http://ovdinfo.org/express-news/722
104,Расклейка стикеров с призывом придти на «Марш Миллионов» 12 июня,2012-06-04,,Москва,,,агитация,политический протест,против власти,,активистский протест,,1,,м Пушкинская,http://ovdinfo.org/express-news/723
105,Пикет против принятия закона о митингах,2012-06-05,,Москва,,,собрание,политический протест,свобода собраний,против закона о митингах,стихийный протест,,72,,"у Государственной Думы, ул. Охотный ряд, д. 1","http://ovdinfo.org/express-news/729, http://ovdinfo.org/express-news/733, http://ovdinfo.org/express-news/731, http://ovdinfo.org/express-news/736, http://ovdinfo.org/express-news/735"
106,Пикет против принятия закона о митингах,2012-06-06,,Москва,,,в движении,политический протест,свобода собраний,против закона о митингах,стихийный протест,,14,,Манежная площадь,"http://ovdinfo.org/express-news/750, http://ovdinfo.org/express-news/751"
107,Пикет против принятия закона о митингах,2012-06-06,,Москва,,,собрание,политический протест,свобода собраний,против закона о митингах,стихийный протест,,2,,"у здания Совета Федерации, Большая Дмитровка, д 26",http://ovdinfo.org/express-news/743
108,Пикет против принятия закона о митингах,2012-06-07,,Москва,,,собрание,политический протест,свобода собраний,против закона о митингах,стихийный протест,,2,,"у Государственной Думы, ул. Охотный ряд, д. 1",http://ovdinfo.org/express-news/760
109,Акция «Оккупаймур»,2012-06-09,,Москва,,,собрание,политический протест,политзаключенные,Болотное дело,стихийный протест,,13,,"у здания ГУВД России, ул Петровка, 38","http://ovdinfo.org/express-news/765, http://ovdinfo.org/express-news/770, http://ovdinfo.org/express-news/771"
110,Пикет «Оккупайск»,2012-06-13,,Москва,,,собрание,политический протест,политзаключенные,Болотное дело,стихийный протест,,5,,"у здания СК РФ, Технический переулок, д. 2",http://ovdinfo.org/express-news/777
112,Пикет против принятия закона о митингах,2012-06-16,,Москва,,,собрание,политический протест,свобода собраний,против закона о митингах,активистский протест,,2,,Пушкинская площадь,http://ovdinfo.org/express-news/788
111,Пикет «Оккупайск»,2012-06-16,,Москва,,,собрание,политический протест,политзаключенные,Болотное дело,стихийный протест,,17,,"у здания СК РФ, Технический переулок, д. 2","http://ovdinfo.org/express-news/780, http://ovdinfo.org/express-news/781, http://ovdinfo.org/express-news/782, http://ovdinfo.org/express-news/784, http://ovdinfo.org/express-news/785, http://ovdinfo.org/express-news/787"
113,Пикет «Россия без Путина»,2012-06-17,,Москва,checked,,собрание,политический протест,против власти,,институциональный протест,Другая Россия,6,,м Новокузнецкая,http://ovdinfo.org/express-news/795
114,Пикет в поддержку «Pussy Riot»,2012-06-20,,Москва,,,собрание,политический протест,политзаключенные,Pussy Riot,стихийный протест,,19,,"у Таганского районного суда, Марксистский переулок, 1/32",http://ovdinfo.org/express-news/801
115,Пикет «Россия без Путина»,2012-06-22,,Москва,checked,,собрание,политический протест,против власти,,институциональный протест,Другая Россия,7,,м Новокузнецкая,http://ovdinfo.org/express-news/803
116,Пикет «Россия без Путина»,2012-06-24,,Москва,checked,,собрание,политический протест,против власти,,институциональный протест,Другая Россия,1,,м Новокузнецкая,http://ovdinfo.org/express-news/804
117,"Задержание активистов у Таганского суда
",2012-06-25,,Москва,,,оккупай,политический протест,политзаключенные,Pussy Riot,стихийный протест,,4,,"у Таганского районного суда, Марксистский переулок, 1/32",http://www.ovdinfo.org/express-news/809
118,Пикет «Россия без Путина»,2012-06-29,,Москва,checked,,собрание,политический протест,против власти,,институциональный протест,Другая Россия,6,,м Новокузнецкая,http://ovdinfo.org/express-news/812
