year,event_id,event_title,date,region,description,agreement,event_type,subject_type,subject_topic,subject_story,organizer_type,organizer_name,detentions,ovd,place,links
2017,915,Одиночный пикет против процесса по делу Кировлеса,2017-01-19,Москва,"Возле здания администрации президента задержали активистов «Партии прогресса» Николая Касьяна и Александра Туровского.  Касьян стоял с плакатом «Дело Кировлеса решается в АП, а не в суде». ",-,одиночный пикет,политический протест,против власти,справедливый суд,институциональный протест,Партия прогресса,2,Китай-город,Старая площадь 6 стр.1,https://ovdinfo.org/express-news/2017/01/19/vozle-administracii-prezidenta-zaderzhan-aktivist-stoyavshiy-v-odinochnom
2017,916,Антивоенная акция солидарности с Украиной,2017-01-21,Санкт-Петербург,"На углу Невского проспекта и Малой Конюшенной улицы встали двое активистов с плакатами «Остановим войну в Украине», в то время как еще 20 человек раздавали прохожим голубые и желтые шарики. Третьему человеку развернуть плакат не дали — его задержала полиция.",-,акция,политический протест,внешняя политика,против войны,активистский протест,,1,,Угол Невского проспекта и Малой Конюшенной улицы,"https://ovdinfo.org/express-news/2017/01/22/vchera-v-sankt-peterburge-byl-zaderzhan-aktivist-s-plakatom-ostanovim-voynu, https://www.fontanka.ru/2017/01/21/061/"
2017,917,Серия одиночных пикетов в поддержку Ильдара Дадина,2017-01-24,Москва,Во время одиночных пикетов в поддержку осужденного активиста Ильдара Дадина задержаны несколько человек. Пикет приурочен к дате рассмотрения Конституционным судом жалобы Дадина на статью 212.1,-,одиночный пикет,политический протест,политзаключенные,освобождение политзаключенных,активистский протест,,4,Тверской,Тверская улица 8к1,https://ovdinfo.org/express-news/2017/01/24/v-moskve-na-pikete-v-podderzhku-dadina-zaderzhany-aktivisty
2017,918,Задержание двух валютных заемщиков,2017-01-26,Санкт-Петербург,"В здании Законодательного собрания Санкт-Петербурга задержали двух валютных заемщиков, пришедших на встречу с депутатами. Дмитрия Юрина и Александра Антонова задержали из-за того, что они якобы «мешали работать». На заемщиков составили протоколы об административном правонарушении по статье 20.1 КоАП (мелкое хулиганство).",-,собрание,групповой протест,узкоэкономические требования,,стихийный протест,,2,,"Законодательное собрание, Исаакиевская площадь, 6","https://ovdinfo.org/story/zaderzhanie-valyutnyh-zaemshchikov-v-zaksobranii, https://ovdinfo.org/express-news/2017/01/26/zaderzhannyh-v-peterburge-valyutnyh-zaemshchikov-dostavili-v-sud"
2017,919,Мемориал Немцова,2017-01-27,Москва,"На Большом Москворецком мосту (народный мемориал «Немцов мост», где был убит политик Борис Немцов) задержан «дежурный моста» Андрей Маргулев. Весь мемориал был «зачищен» — убраны цветы и фотографии.",-,оккупай,политический протест,против власти,протест против безнаказанного убийства,активистский протест,"""""""Группа волонтеров — дежурных, постоянно поддерживающих мемориал Немцова""""""",1,Китай-город,Большой Москворецкий мост (Немцов мост),https://ovdinfo.org/express-news/2017/01/27/na-memoriale-nemcova-zaderzhan-dezhurnyy
2017,920,Одиночные пикеты в поддержку Юрия Дмитриева,2017-01-28,Москва,"Возле здания Генпрокуратуры задержали Алексея Беленкина и Сергея Быковского, которые  на некотором расстоянии друг от друга стояли в одиночных пикетах в поддержку главы карельского «Мемориала» Юрия Дмитриева. ",-,одиночный пикет,политический протест,политзаключенные,освобождение политзаключенных,активистский протест,,2,Тверской,"Генпрокуратура, ул. Большая Дмитровка, 15a","https://ovdinfo.org/express-news/2017/01/28/v-moskve-vozle-zdaniya-genprokuratury-zaderzhali-dvuh-piketchikov, "
2017,921,Акция против закона о декриминализации побоев,2017-01-29,Санкт-Петербург,"На акции против декриминализации побоев задержана организатор мероприятия Леда Гарина. 

На акции участники акции имитировали побои, а также развернули баннер «Да здравствуют традиционные ценности».",-,акция,политический протест,гендерные права,против декриминализации побоев,активистский протест,участницы проекта «Рёбра Евы»,1,,ТРК «Галерея»,"https://ovdinfo.org/express-news/2017/01/29/v-sankt-peterburge-zaderzhali-organizatora-akcii-protiv-zakona-o, https://www.dp.ru/a/2017/01/29/V_Peterburge_policija_zade"
2017,922,Митинг в защиту троллейбусов,2017-01-29,Москва,"Во время согласованного митинга в защиту троллейбусов задержали 5 участников с плакатами, критикующими власть (Путина и Собянина).",согласовано,собрание,групповой протест,экология,против ликвидации экологически чистого транспорта,институциональный протест,фонд «Городские проекты»,5,Мещанский,Суворовская площадь,https://ovdinfo.org/express-news/2017/01/29/v-moskve-na-soglasovannom-mitinge-proizoshlo-pyatoe-zaderzhanie
2017,923,Пикеты в поддержку Алексея Навального в связи с делом «Кировлеса»,2017-02-01,Москва,"У здания Администрации президента задержаны активисты, устроившие одиночные пикеты в связи с повторным рассмотрением дела по «Кировлесу»",-,одиночный пикет,политический протест,против власти,справедливый суд,активистский протест,,2,,"ул. Ильинка, 23/16",https://ovdinfo.org/express-news/2017/02/01/na-piketah-v-podderzhku-navalnogo-u-zdaniya-administracii-prezidenta
2017,924,Акция «Другой России» против руководства «Роснефти»,2017-02-09,Москва,"Активисты «Другой России» пытались повесить баннер «Капитализм — дерьмо» на здание главного офиса «Роснефти», а также разбросать листовки с обвинениями в адрес топ-менеджмента компании, были задержаны",-,акция,политический протест,узкоэкономические требования,"""""""против Роснефти, за национализацию нефти и газа""""""",институциональный протест,Другая Россия,12,Якиманка,"Софийская набережная, 26/1","https://ovdinfo.org/express-news/2017/02/09/aktivistov-drugoy-rossii-zaderzhali-pri-popytke-povesit-banner-na-zdanie, "
2017,925,Одиночный пикет в поддержку Ильдара Дадина,2017-02-10,Санкт-Петербург,"Возле здания Конституционного суда был задержан активист Динар Идрисов, он держал в руках плакат «Нам нужна свобода»",-,одиночный пикет,политический протест,политзаключенные,освобождение политзаключенных,активистский протест,,1,Отдел полиции №1 Адмиралтейского района г.Санкт-Петербурга,"у Конституционного суда, Сенатская площадь, 1","https://ovdinfo.org/express-news/2017/02/10/aktivista-idrisova-zaderzhali-za-piket-v-podderzhku-ildara-dadina, https://zona.media/news/2017/10/02/ne-podhodi"
2017,926,Пикеты валютных заемщиков около ряда банков,2017-02-11,Москва,"Возле банков «Альфа-банк», «Росбанк», «Абсолют», «ДельтаКредит» проходили согласованные пикеты, а возле банка ВТБ - одиночные пикеты валютных заемщиков, все участники задержаны",согласовано,собрание,групповой протест,узкоэкономические требования,против грабительских условий по валютной ипотеке,активистский протест,,10,Басманный," Офисы банков «Альфа-банк», «Росбанка», «Абсолют», «ДельтаКредит» и ВТБ",https://ovdinfo.org/express-news/2017/02/11/vozle-moskovskih-ofisov-neskolkih-bankov-zaderzhany-valyutnye-zaemshchiki
2017,927,Прогулка оппозиции,2017-02-12,Москва,"Во время традиционной прогулки оппозиции один из активистов развернул плакат, после чего начались задержания.",-,в движении,политический протест,против власти,против действующей власти,институциональный протест,Новая оппозиция,18,Китай-город,Васильевский спуск,https://ovdinfo.org/express-news/2017/02/12/v-moskve-zaderzhali-uchastnikov-progulki-oppozicii
2017,928,Одиночный пикет против передачи Исаакиевского собора в ведение РПЦ,2017-02-12,Санкт-Петербург,"Был задержан активист, священник Ассоциации Христианских Евхаристических общин Александр Хмелев, за пикет против передачи Исаакиевского собора в ведение РПЦ",-,одиночный пикет,локальный протест,градостроительная,"""""""против передачи Исаакиевского собора в ведение РПЦ, слияния библиотек, застройки парковой зоны""""""",активистский протест,,1,Отдел полиции №1 Адмиралтейского района г.Санкт-Петербурга,Исаакиевская площадь,https://ovdinfo.org/express-news/2017/02/12/v-peterburge-u-isaakievskogo-sobora-zaderzhan-aktivist
2017,929,"Мемориал Немцова
",2017-02-13,Москва,Задержаны двое дежурных у мемориала Бориса Немцова. Во время отсутствия дежурных сотрудники Гормоста «зачистили» мемориал от цветов и фотографий.,-,оккупай,политический протест,против власти,протест против безнаказанного убийства,активистский протест,"""""""Группа волонтеров — дежурных, постоянно поддерживающих мемориал Немцова""""""",2,Китай-город,Большой Москворецкий мост,https://ovdinfo.org/express-news/2017/02/13/u-memoriala-nemcova-byli-zaderzhany-dva-cheloveka
2017,930,"Театрализованная акция у суда, в котором незаконно осудили предпринимателя
",2017-02-15,Москва,"У здания Таганского суда в Москве состоялась несогласованная театрализованная акция: две девушки легли в картонные гробы с венками. Акционисты хотели таким образом привлечь внимание к осужденному предпринимателю Дмитрию Даину, дело которого рассматривалось в этом суде по статье 159 УК (Мошенничество). Участниц оштрафовали на 15 тысяч рублей по ч. 5 ст. 20.2 КоАП (нарушение порядка проведения публичного мероприятия его участником).",-,акция,политический протест,против власти,справедливый суд,активистский протест,,2,Таганский,"у Таганского районного суда, Марксистский переулок, 1/32",https://ovdinfo.org/express-news/2017/02/15/dvoe-zaderzhany-za-teatralizovannuyu-akciyu-u-taganskogo-suda-v-moskve
2017,931,"Забастовка строителей метро
",2017-02-20,Москва,Забастовка рабочих строителей метро в связи с задержкой выплаты заработной платы. Работники не получают зарплату с октября 2016 года. 20 февраля 2017 года они начали писать заявления о приостановке работы.,-,собрание,локальный протест,узкоэкономические требования,невыплата зарплат,стихийный протест,,1,Дорогомилово,Кутузовский проспект,https://ovdinfo.org/express-news/2017/02/20/v-moskve-zaderzhivayut-bastuyushchih-stroiteley-metro
2017,932,Музыкальной концерт партии «Другая Россия»,2017-02-22,Москва,"Полиция явилась на музыкальный концерт, который устраивали активисты «Другой России». Полицейские стали проверять у всех присутствующих документы и сажать всех в автозак. 15 человек из 17 задержанных на концерте активистов «Другой России» вышли на свободу без составления протоколов.  2 несовершеннолетних должны забрать родители. ",-,культурно-просветительское мероприятие,политический протест,против власти,"""""""«нация, родина, социализм»""""""",институциональный протест,Другая Россия,17,Рязанский,,"https://ovdinfo.org/express-news/2017/02/22/v-moskve-policiya-zaderzhala-aktivistov-drugoy-rossii, https://vk.com/drugoross, "
2017,933,«Дезертир-фест»,2017-02-23,Москва,"Полиция задержала посетителей и участников антивоенного фестиваля «Дезертир-фест». Очевидцы сообщают, что людей задерживали с применением физической силы, на одного надели наручники. После задержания со многими жестоко обращались, у одного из задержанных пробита голова. ",-,культурно-просветительское мероприятие,политический протест,другое,против призыва в армию,активистский протест,,70,"Кузьминки,Рязанский,Текстильщики",подвал на ул. Шкулева,"https://ovdinfo.org/express-news/2017/02/23/zaderzhannyh-na-dezertir-feste-razvezli-po-trem-ovd, https://ovdinfo.org/express-news/2017/02/23/na-dezertir-feste-zaderzhany-ne-menee-shestidesyati-chelovek"
2017,934,Баннер активистов «Другой России» на антикапиталистическом митинге,2017-02-23,Москва,Активисты «Другой России» задержаны в Москве возле станции метро «Улица 1905 года» в ходе митинга коммунистов. Причиной задержания стал баннер «Гнать хунту до Львова».,согласовано,собрание,политический протест,против власти,"""""""«нация, родина, социализм»""""""",институциональный протест,Денис Зоммер,6,Пресненский,у станции метро «Улица 1905 года»,https://ovdinfo.org/express-news/2017/02/23/na-mitinge-v-moskve-zaderzhany-aktivisty-drugoy-rossii
2017,935,Марш памяти Бориса Немцова,2017-02-26,Санкт-Петербург,"Во время несогласованного Марша памяти Бориса Немцова был задержан активист Петр Трофимов. Мужчина шел с плакатом «Давайте станем гражданским обществом», когда к нему подошли полицейские, что-то стал выкрикивать. ",-,в движении,политический протест,против власти,протест против безнаказанного убийства,активистский протест,"""""""«Солидарность», «Открытая Россия», «Весна», партии «Парнас», «Яблоко» и «Демократический выбор», коалиция «Демократический Петербург».""""""",1,Отдел полиции №78 Центрального района г.Санкт-Петербурга,,https://ovdinfo.org/express-news/2017/02/26/v-sankt-peterburge-na-marshe-pamyati-nemcova-zaderzhan-aktivist
2017,936,"Марш памяти Бориса 
 Немцова",2017-02-26,Москва,"В Москве на Марше памяти Бориса Немцова 26 февраля происходят задержания.  Задерживали, главным образом, за плакаты. Жестоко обращались, выворачивали руки. ",согласовано,в движении,политический протест,против власти,протест против безнаказанного убийства,институциональный протест,оргкомитет Марша памяти Бориса Немцова,3,"Китай-город,Тверской",Большой Москворецкий мост (Немцов мост),https://ovdinfo.org/express-news/2017/02/26/aktivista-solidarnosti-spb-otpustili-iz-ovd
2017,937,Мемориал Немцова,2017-02-27,Москва,В ночь на 27 февраля на Большом Москворецком мосту возле мемориала Бориса Немцова задержаны 6 дежурных. Полиция объяснила свои действия сообщением о якобы происходившей драке на мосту.,-,оккупай,политический протест,против власти,протест против безнаказанного убийства,активистский протест,"""""""Группа волонтеров — дежурных, постоянно поддерживающих мемориал Немцова""""""",6,Китай-город,Большой Москворецкий мост (Немцов мост),https://ovdinfo.org/express-news/2017/02/27/vozle-memoriala-borisa-nemcova-zaderzhany-pyatero-dezhurnyh
2017,938,Мемориал Немцова,2017-03-02,Москва,"Возле мемориала Бориса Немцова задержали двоих дежурных, сотрудники «Гормоста» увезли с моста цветы и портреты",-,оккупай,политический протест,против власти,протест против безнаказанного убийства,активистский протест,"""""""Группа волонтеров — дежурных, постоянно поддерживающих мемориал Немцова""""""",2,Китай-город,Большой Москворецкий мост (Немцов мост),https://ovdinfo.org/express-news/2017/03/02/na-memoriale-nemcova-nochyu-zaderzhali-dvoih-dezhurnyh
2017,939,Вывешивание баннера «Путин это война. Путин это смерть»,2017-03-05,Москва,Трое активистов задержаны за вывешивание на мосту у Комсомольской площади баннера с текстом «Путин это война. Путин это смерть».,-,акция,политический протест,против власти,против Путина,активистский протест,,3,ЛУ МВД России на станции Москва-Курская,Комсомольская площадь,https://ovdinfo.org/express-news/2017/03/05/v-moskve-zaderzhali-treh-aktivistov-za-banner-putin-eto-voyna
2017,940,Народный сход за отставку Дмитрия Медведева,2017-03-06,Санкт-Петербург,"Шесть активистов задержаны за участие в народном сходе. Участники схода обсуждали расследование Навального об имуществе главы правительства Дмитрия Медведева, водили хороводы вокруг полицейских машин и крякали, один из активистов держал плакат. ",-,собрание,политический протест,против власти,за отставку Медведева,стихийный протест,,6,Отдел полиции №78 Центрального района г.Санкт-Петербурга,"Большая Морская улица, у арки Генерального штаба ",https://ovdinfo.org/express-news/2017/03/06/v-sankt-peterburge-na-shode-za-otstavku-medvedeva-zaderzhany-aktivisty
2017,941,"Акция «Феминизм для каждой», приуроченная к 8 марта",2017-03-08,Санкт-Петербург,"Задержания произошли во время феминистской акции в честь 8-го марта: активистки планировали пройти шествием от Малой Садовой улицы до Дворцовой площади, принесли плакаты, пели песни. При задержании полиция применила насилие. Двоих задержанных из ОВД увезла скорая, про одну из них стало известно, что ее при задержании душили полицейские. Одного активиста оставили в отделе полиции на ночь. ",-,собрание,политический протест,гендерные права,против патриархата,активистский протест,,14,Отдел полиции №78 Центрального района г.Санкт-Петербурга,Малая Садовая и Малая Конюшенная улица,"https://ovdinfo.org/stories/2017/03/13/vy-navernoe-byli-na-akcii-u-vas-lentochki-takie-na-palto, https://www.fontanka.ru/2017/03/09/001/"
2017,942,Акция националистов у здания ГБУ «Гормост» против зачисток мемориала Немцова,2017-03-08,Москва,"Активисты Партии националистов задержаны за попытку зажечь файеры у здания ГБУ «Гормост». Всех задержанных  отпустили в тот же день, составив протоколы по статьям о неповиновении полиции и нарушения правил проведения мероприятия.",-,акция,политический протест,против власти,против зачищения мемориала Немцова сотрудниками «Гормоста»,институциональный протест,Партия националистов,7,Лефортово,"ГБУ «Гормост», Верхний Золоторожский переулок, 5, стр.3","https://ovdinfo.org/express-news/2017/03/09/aktivisty-partii-nacionalistov-byli-zaderzhany-8-marta-vozle-ofisa-gormosta, http://gr-sily.ru/obshestvo/aktivisty-novoj-oppozicii-zaderzhany-za-popytku-zazhech-fajery-u-zdaniya-gbu-gormost-23945.html"
2017,943,Акция феминисток с баннером и дымовыми шашками против патриархата,2017-03-08,Москва,"Четыре активистки были задержаны после того как зажгли дымовые шашки и вывесили на стене Кремля баннер с надписью: «200 лет мужчины у власти. Долой!», также они развернули на территории Кремля растяжки с феминистскими лозунгами. Вместе с ними были задержаны две журналистки «Новой газеты» и фотограф. ",-,акция,политический протест,гендерные права,против патриархата,активистский протест,,7,Китай-город,Александровский сад,https://ovdinfo.org/express-news/2017/03/08/na-krasnoy-ploshchadi-zaderzhany-feministki
2017,944,Акция в честь столетия Февральской революции,2017-03-08,Санкт-Петербург,"Во время акции в честь столетия февральской революции активисты устанавливали красные флаги на мемориале «Жертвам революции» на Марсовом поле, один из активистов был задержан. ",-,акция,политический протест,другое,РОТ ФРОНТ провела акцию в память о погибших революционерах,институциональный протест,РОТ ФРОНТ,1,,Марсово поле,"https://ovdinfo.org/express-news/2017/03/08/na-akcii-v-chest-fevralskoy-revolyucii-byl-zaderzhan-aktivist, https://rkrp-rpk.ru/2017/03/08/%D0%BD%D0%B0-%D0%BC%D0%B0%D1%80%D1%81%D0%BE%D0%B2%D0%BE%D0%BC-%D0%BF%D0%BE%D0%BB%D0%B5-%D0%B7%D0%B0%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%BD-%D0%BB%D0%B8%D0%B4%D0%B5%D1%80-%D1%80%D0%BA%D1%80%D0%BF-%D0%B8/"
2017,945,Одиночный пикет Ильдара Дадина у здания ФСИН,2017-03-10,Москва,"Ильдар Дадин проводил одиночный пикет у здания ФСИН с требованием отставки главы управления ФСИН по Карелии Александра Тереха. Причиной задержания, вероятно, стал отказ Дадина предъявить полицейским свой паспорт.",-,одиночный пикет,политический протест,против пыток,против пыток в колониях,активистский протест,Ильдар Дадин,1,Якиманка,здание ФСИН на Житной улице,"https://ovdinfo.org/express-news/2017/03/10/ildar-dadin-zaderzhan-za-chto-otkazalsya-predyavit-pasport, https://www.bbc.com/russian/news-39228875, https://www.rbc.ru/politics/02/04/2017/58e109c79a79475f1f9a41ba, https://ovdinfo.org/express-news/2017/03/10/ildara-dadina-otpustili-posle-togo-kak-zhena-privezla-v-ovd-ego-pasport"
2017,946,Валютные заёмщики на приёме у министра финансов,2017-03-10,Москва,"Более 50 валютных заемщиков сегодня не пустили на прием к министру финансов Антону Силуанову. Двоих заемщиков задержали. Поводом для задержания стало то, что заемщики собой принесли две пластмассовые головы от манекенов, которое они хотели использовать для театрализованного действа, посвященного  бездействию государства.",-,собрание,политический протест,узкоэкономические требования,против грабительских условий по валютной ипотеке,стихийный протест,,2,Пресненский,Белый Дом,"https://ovdinfo.org/express-news/2017/03/10/iz-ovd-presnenskiy-otpustili-dvuh-zaemshchikov-i-vernuli-im-golovy, https://eadaily.com/ru/news/2017/03/10/valyutnye-ipotechniki-pokazali-siluanovu-svinyu, "
2017,947,Одиночный пикет валютного заёмщика у Белого Дома,2017-03-10,Москва,"Возле Белого дома задержана Юлия Кислянская, стоявшая в одиночном пикете, посвященном проблемам валютной ипотеки.
Около 50 валютных заемщиков в этот день не пустили на прием к министру финансов. Двоих заемщиков задержали.",-,одиночный пикет,политический протест,узкоэкономические требования,против грабительских условий по валютной ипотеке,активистский протест,,1,Пресненский,Белый Дом,https://ovdinfo.org/express-news/2017/03/10/vozle-belogo-doma-zaderzhana-zhenshchina-za-odinochnyy-piket-posvyashchennyy
2017,948,Молитвенное стояние православных монархистов,2017-03-15,Москва,"На Суворовской площади в Москве во время согласованного молитвенного стояния задержан глава православных хоругвеносцев Дмитрий Антонов. По словам очевидцев, повода для задержания не было, но сотрудники полиции заявили, что хоругви имеют признаки экстремизма. Молитвенное стояние приурочено к годовщине событий 1917 года и столетию явления «Державной» иконы Божией Матери.",согласовано,собрание,политический протест,другое,"""""""традиционное молитвенное стояние, посвященное 100-летию явления иконы Божией Матери «Державная»""""""",институциональный протест,"""""""Союз «Христианское Возрождение», Движение «Сопротивление Новому Мировому Порядку» и Союз Православных Братств""""""",1,Мещанский,Суворовская площадь,"https://ovdinfo.org/express-news/2017/03/15/v-moskve-zaderzhan-pravoslavnyy-horugvenosec, https://ovdinfo.org/express-news/2017/03/15/zaderzhannogo-pravoslavnogo-horugvenosca-dostavili-v-ovd-meshchanskiy, http://dsnmp.ru/molitvennoe-stoyanie-posvyashhennoe-100-letiyu-yavleniya-ikonyi-bozhiey-materi-derzhavnaya/"
2017,949,Одиночные пикеты против аннексии Крыма,2017-03-16,Санкт-Петербург,"В Санкт-Петербурге во время серии одиночных пикетов против присоединения Крыма к России был задержан активист Алексей Болгаров.  Активисты жаловались на провокации, из-за которых они около получаса не могли начать мероприятие. Полицейским, следившим за пикетами, не понравился плакат, на котором в числе других персонажей был изображен Гитлер со свастикой на рукаве.",-,одиночный пикет,политический протест,внешняя политика,против аннексии Крыма,активистский протест,,1,Отдел полиции №78 Центрального района г.Санкт-Петербурга,Невский проспект,https://ovdinfo.org/express-news/2017/03/18/v-sankt-peterburge-byl-zaderzhan-aktivist-na-odinochnom-pikete-protiv
